year,soc_name,avg_wage,avg_wage_error
2014,"Firstline supervisors of protective service workers, all other",111859,31986.1
2014,Firefighters,67254.8,16824.9
2014,Fire inspectors,36303.3,0
2014,"Bailiffs, correctional officers, & jailers",52015.2,8874.93
2014,Detectives & criminal investigators,105816,21810.1
2014,Police officers,80379.6,13095.1
2014,Private detectives & investigators,94212,17897.2
2014,Security guards & gaming surveillance officers,62708.4,16451.3
2014,Transportation security screeners,42353.9,7.57E-12
2014,Chefs & head cooks,35744.7,10053.2
2014,Firstline supervisors of food preparation & serving workers,30793.7,7100.7
2014,Cooks,23145.2,4455.95
2014,Food preparation workers,11706.8,4130.57
2014,Bartenders,26849.5,8673.22
2014,"Counter attendants, cafeteria, food concession, & coffee shop",14118,1.89E-12
2014,Waiters & waitresses,26710.9,7249.75
2014,"Food servers, nonrestaurant",29799,14526.8
2014,Dishwashers,7130.67,5146.03
2014,"Hosts & hostesses, restaurant, lounge, & coffee shop",3529.49,1.51E-12
2014,Firstline supervisors of housekeeping & janitorial workers,28262.9,9547.73
2014,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",60505.5,1.28E-11
2014,Maids & housekeeping cleaners,17408.3,5584.93
2014,Pest control workers,38076.6,32398.6
2014,Grounds maintenance workers,38271.5,10702.6
2014,Firstline supervisors of personal service workers,49221.3,31382.5
2014,Animal trainers,11395.2,2.59E-12
2014,Nonfarm animal caretakers,31682.3,21804.6
2014,Gaming services workers,37636.6,8215.33
2014,Miscellaneous entertainment attendants & related workers,5918.93,8347.27
2014,"Morticians, undertakers, & funeral directors",15126.4,3.48E-12
2014,Barbers,35294.9,0
2014,"Hairdressers, hairstylists, & cosmetologists",28814.5,22852.4
2014,Miscellaneous personal appearance workers,21624.9,11352.6
2014,"Baggage porters, bellhops, & concierges",35407.6,31045.6
2014,Tour & travel guides,40444.4,3064.76
2014,Childcare workers,10639.2,3986.25
2014,Personal care aides,16680.3,2409.47
2014,Recreation & fitness workers,39478.4,9042.97
2014,Residential advisors,33278,0
2014,Firstline supervisors of retail sales workers,63407.3,9065.96
2014,Firstline supervisors of nonretail sales workers,122721,18148.7
2014,Cashiers,21112.9,7356.33
2014,Counter & rental clerks,5445.5,7.48E-13
2014,Parts salespersons,8067.4,1.57E-12
2014,Retail salespersons,51666.2,8478.79
2014,Advertising sales agents,94081.9,23662.4
2014,Insurance sales agents,63936.6,18922.9
2014,"Securities, commodities, & financial services sales agents",143246,43113.6
2014,Travel agents,41834.9,7375.55
2014,"Sales representatives, services, all other",132208,21613.1
2014,"Sales representatives, wholesale & manufacturing",119506,18084.1
2014,"Models, demonstrators, & product promoters",65651.8,45536.5
2014,Real estate brokers & sales agents,57608.1,12646.7
2014,Sales engineers,162356,57725.3
2014,Telemarketers,13868.4,730.993
2014,"Doortodoor sales workers, news & street vendors, & related workers",19879.8,16539
2014,Other Sales Workers,104203,26774.8
2014,Firstline supervisors of office & administrative support workers,85531,10897
2014,"Switchboard operators, including answering service",71279.7,30119
2014,Telephone operators,12250.1,20259.9
2014,"Communications equipment operators, all other",55499.4,23163.9
2014,Bill & account collectors,46213.4,8758.31
2014,Billing & posting clerks,45274.1,7877.32
2014,"Bookkeeping, accounting, & auditing clerks",49273.6,12819.9
2014,Payroll & timekeeping clerks,62269.2,19166.7
2014,Procurement clerks,65547.6,0
2014,Tellers,22468,3297.84
2014,Other financial clerks,70977.7,42540.4
2014,"Court, municipal, & license clerks",41944.8,7796.59
2014,"Credit authorizers, checkers, & clerks",53081.4,28397.3
2014,Customer service representatives,46068.8,6249.19
2014,"Eligibility interviewers, government programs",28384.9,22440.8
2014,File clerks,22481.1,9260.75
2014,"Hotel, motel, & resort desk clerks",19929.5,4869.43
2014,"Interviewers, except eligibility & loan",29700.8,520.805
2014,"Library assistants, clerical",19306.6,14906.3
2014,Loan interviewers & clerks,56452.9,5919.7
2014,"Human resources assistants, except payroll & timekeeping",59129.7,41992.8
2014,Receptionists & information clerks,27152.8,7370.77
2014,Reservation & transportation ticket agents & travel clerks,60884.2,18173.6
2014,"Information & record clerks, all other",59081.3,16057.6
2014,Cargo & freight agents,36303.3,0
2014,Couriers & messengers,63105.1,22839.6
2014,Dispatchers,42754.6,13354.2
2014,Postal service clerks,65257,16186
2014,Postal service mail carriers,56440.4,13813
2014,"Postal service mail sorters, processors, & processing machine operators",43972,9858.22
2014,"Production, planning, & expediting clerks",60682.6,18415.2
2014,"Shipping, receiving, & traffic clerks",32789.1,7324.46
2014,Stock clerks & order fillers,27346.9,7252.55
2014,"Weighers, measurers, checkers, & samplers, recordkeeping",48449.4,30818
2014,Secretaries & administrative assistants,35723.3,5855.41
2014,Computer operators,45594.7,8932.46
2014,Data entry keyers,41772.3,10905.1
2014,Word processors & typists,37073.3,7157.59
2014,Insurance claims & policy processing clerks,28983.4,4242.54
2014,"Mail clerks & mail machine operators, except postal service",45293.8,5845.45
2014,"Office clerks, general",30612.5,9725.64
2014,"Office machine operators, except computer",18151.7,0
2014,Statistical assistants,60505.5,1.20E-11
2014,Fishing & hunting workers,29883.1,7068.57
2014,Forest & conservation workers,76472.2,11242.3
2014,Firstline supervisors of construction trades & extraction workers,61599.6,33799.4
2014,Boilermakers,64539.2,1.31E-11
2014,Carpenters,27528.2,8970.26
2014,Construction laborers,25271.8,7612.83
2014,Electricians,50789.1,18396.9
2014,Glaziers,42247.9,3245.79
2014,Painters & paperhangers,48207.3,15160.5
2014,"Pipelayers, plumbers, pipefitters, & steamfitters",53235.5,9154.11
2014,Roofers,29849.4,5.35E-12
2014,Sheet metal workers,63530.8,1.23E-11
2014,Construction & building inspectors,54115.7,38566.2
2014,Hazardous materials removal workers,32269.6,6.56E-12
2014,"Explosives workers, ordnance handling experts, & blasters",56471.8,1.10E-11
2014,Mining machine operators,40337,0
2014,"Firstline supervisors of mechanics, installers, & repairers",75329.1,19965
2014,"Computer, automated teller, & office machine repairers",56970.7,5646.89
2014,Radio & telecommunications equipment installers & repairers,56068.9,10090.8
2014,"Electric motor, power tool, & related repairers",30252.8,5.01E-12
2014,"Electronic equipment installers & repairers, motor vehicles",17143.2,0
2014,Electronic home entertainment equipment installers & repairers,33867.1,36263.9
2014,Security & fire alarm systems installers,51471.5,15220.4
2014,Aircraft mechanics & service technicians,46109.5,19866.8
2014,Automotive body & related repairers,40337,0
2014,Automotive service technicians & mechanics,29395.5,12987.4
2014,Heavy vehicle & mobile equipment service technicians & mechanics,70993.8,24044.5
2014,Small engine mechanics,5546.34,2.78E-12
2014,"Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers",27800.8,10553.2
2014,"Heating, air conditioning, & refrigeration mechanics & installers",66672.5,13675.6
2014,"Maintenance workers, machinery",55463.4,2.06E-11
2014,Electrical powerline installers & repairers,91843.8,51950
2014,Telecommunications line installers & repairers,42177,16547.6
2014,Precision instrument & equipment repairers,25210.6,1.34E-12
2014,"Maintenance & repair workers, general",61632.1,10942.6
2014,"Coin, vending, & amusement machine servicers & repairers",28598,8348.18
2014,Locksmiths & safe repairers,22185.3,1.89E-12
2014,Firstline supervisors of production & operating workers,76072.8,9094.51
2014,"Electrical, electronics, & electromechanical assemblers",10769.9,16226.4
2014,Miscellaneous assemblers & fabricators,40876.4,11203.8
2014,Bakers,36303.3,0
2014,"Butchers & other meat, poultry, & fish processing workers",26541.6,10636.4
2014,Food batchmakers,29994.4,11325.4
2014,"Food processing workers, all other",74623.5,0
2014,"Machine tool cutting setters, operators, & tenders, metal & plastic",25769.5,5717.82
2014,Machinists,46566.3,19621.2
2014,"Welding, soldering, & brazing workers",25637,9619.39
2014,Prepress technicians & workers,50421.2,5.35E-12
2014,Printing press operators,37148,18541.1
2014,"Tailors, dressmakers, & sewers",20182.5,7507.41
2014,Upholsterers,14723,2.92E-12
2014,"Woodworking machine setters, operators, & tenders, except sawing",75631.9,0
2014,"Power plant operators, distributors, & dispatchers",99305.9,25737
2014,Stationary engineers & boiler operators,30780.5,21540.5
2014,Water & wastewater treatment plant & system operators,89023.4,4045.32
2014,"Crushing, grinding, polishing, mixing, & blending workers",10084.2,0
2014,"Extruding, forming, pressing, & compacting machine setters, operators, & tenders",69229.8,32765.8
2014,"Inspectors, testers, sorters, samplers, & weighers",48242.9,7565.71
2014,Jewelers & precious stone & metal workers,18151.7,0
2014,"Medical, dental, & ophthalmic laboratory technicians",32855.7,4504.38
2014,Packaging & filling machine operators & tenders,37888.5,31260
2014,Photographic process workers & processing machine operators,71809.1,19753.9
2014,"Molders, shapers, & casters, except metal & plastic",26017.4,4.82E-12
2014,"Paper goods machine setters, operators, & tenders",69581.3,0
2014,Helpersproduction workers,8579.31,6148.28
2014,Supervisors of transportation & material moving workers,42549.8,8671.01
2014,Aircraft pilots & flight engineers,112922,33584.5
2014,Air traffic controllers & airfield operations specialists,129466,14077.1
2014,Flight attendants,64282.8,21771.5
2014,"Ambulance drivers & attendants, except emergency medical technicians",12101.1,2.50E-12
2014,Bus drivers,46834.9,20020.7
2014,Driver/sales workers & truck drivers,46336.5,17202.8
2014,Taxi drivers & chauffeurs,29449.7,30827.8
2014,Ship & boat captains & operators,123481,32221.2
2014,Parking lot attendants,26249.7,9389.69
2014,"Transportation attendants, except flight attendants",35294.9,0
2014,Crane & tower operators,26219.1,4.01E-12
2014,Industrial truck & tractor operators,30000.4,18263.4
2014,Cleaners of vehicles & equipment,41069.9,21302.4
2014,"Laborers & freight, stock, & material movers, hand",33756.4,9532.5
2014,"Packers & packagers, hand",16513.1,6209.67
2014,Refuse & recyclable material collectors,2722.75,2.37E-13
2014,Military officer special & tactical operations leaders,70921.9,1168.41
2014,Firstline enlisted military supervisors,75247.2,14699.8
2014,Military enlisted tactical operations & air/weapons specialists & crew members,25839.7,15412.6
2014,"Military, rank not specified",75979.8,10350
2014,Chief executives & legislators,185074,16822
2014,Advertising & promotions managers,79868.2,20322.1
2014,Marketing & sales managers,150727,23758.5
2014,Public relations & fundraising managers,105838,18679.5
2014,Administrative services managers,142978,57204.3
2014,Computer & information systems managers,113850,4022.93
2014,Financial managers,122417,12288.7
2014,Industrial production managers,95764.2,23640
2014,Purchasing managers,89168,11677.5
2014,"Transportation, storage, & distribution managers",82307.8,16773.6
2014,"Farmers, ranchers, & other agricultural managers",37858.1,16250.1
2014,Construction managers,90778.9,18928.3
2014,Education administrators,80805.4,12547.7
2014,Architectural & engineering managers,165568,22425.5
2014,Food service managers,61817.1,11422.8
2014,Gaming managers,118994,2.00E-11
2014,Lodging managers,25503.9,12148.6
2014,Medical & health services managers,102775,24458.9
2014,Natural sciences managers,138362,21650.3
2014,"Property, real estate, & community association managers",85870.5,21621.9
2014,Social & community service managers,65472.9,12885.1
2014,Miscellaneous managers,121332,5798.7
2014,"Software developers, applications & systems software",101605,1966.34
2014,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",88532.1,15974.9
2014,"Petroleum, mining & geological engineers, including mining safety engineers",98912.1,8110.94
2014,"Miscellaneous engineers, including nuclear engineers",111047,11158.4
2014,"Medical scientists, & life scientists, all other",87973.7,21249.7
2014,"Miscellaneous social scientists, including survey researchers & sociologists",30318.8,14915.2
2014,Chemical technicians,71201.4,18108.7
2014,"Geological & petroleum technicians, & nuclear technicians",91910.7,23864
2014,"Miscellaneous life, physical, & social science technicians, including social science research assistants",45083.9,22263.9
2014,"Miscellaneous community & social service specialists, including health educators & community health workers",18880.1,7906.3
2014,"Lawyers, & judges, magistrates, & other judicial workers",128752,22174.2
2014,"Other education, training, & library workers",43321.8,11183.5
2014,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",72736.4,27502.4
2014,"Other therapists, including exercise physiologists",56697.1,9913.49
2014,Nurse practitioners & nurse midwives,74224.4,41244.8
2014,"Healthcare support workers, all other, including medical equipment preparers",21277.8,2.99E-12
2014,Miscellaneous law enforcement workers,80674,0
2014,"Lifeguards & other recreational, & all other protective service workers",62522.4,1.26E-11
2014,"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",25332.6,18309.8
2014,Janitors & building cleaners,34849.9,20057.1
2014,Correspondence clerks & order clerks,28235.9,5.35E-12
2014,"Miscellaneous office & administrative support workers, including desktop publishers",41174.2,7436.31
2014,"Miscellaneous agricultural workers, including animal breeders",20004.6,1981.48
2014,"Construction equipment operators except paving, surfacing, & tamping equipment operators",81473,19312.6
2014,"Miscellaneous extraction workers, including roof bolters & helpers",35395.7,2.68E-12
2014,"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers & sewer pipe cleaners",50421.2,6.56E-12
2014,"Electrical & electronics repairers, transportation equipment, & industrial & utility",103464,48575.1
2014,Industrial & refractory machinery mechanics,49490.5,14858
2014,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",43346.4,13762.5
2014,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",56901.7,22738.6
2014,"Miscellaneous woodworkers, including model makers & patternmakers",32130.5,41687.5
2014,"Miscellaneous production workers, including semiconductor processors",63569,42427.7
2014,"Subway, streetcar, & other rail transportation workers",60505.5,1.91E-11
2014,"Sailors & marine oilers, & ship engineers",19160.1,1.89E-12
2014,"Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",40337,0
2014,"Conveyor operators & tenders, & hoist & winch operators",65547.6,0
2014,"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",7260.66,1.77E-12
2015,General & operations managers,90042.3,11762.5
2015,Compensation & benefits managers,95120.1,4.93E-11
2015,Human resources managers,129337,14721.6
2015,Training & development managers,76737.4,20200.6
2015,Emergency management directors,81102.4,7.57E-12
2015,"Agents & business managers of artists, performers, & athletes",40209.9,16739.2
2015,"Buyers & purchasing agents, farm products",74093.5,0
2015,"Wholesale & retail buyers, except farm products",33240.2,24466.6
2015,"Purchasing agents, except wholesale, retail, & farm products",72136,12870.7
2015,"Claims adjusters, appraisers, examiners, & investigators",61625.6,9522.46
2015,Compliance officers,74172.5,19059.5
2015,Cost estimators,62691,18357.7
2015,Human resources workers,93505.7,39830.6
2015,Logisticians,78012.5,19654.4
2015,Management analysts,108010,9544.35
2015,"Meeting, convention, & event planners",50161.4,15420.2
2015,Fundraisers,65869.4,10732
2015,"Compensation, benefits, & job analysis specialists",62976.7,27795.9
2015,Training & development specialists,84011.1,11964.1
2015,Market research analysts & marketing specialists,72672.2,15809.7
2015,"Business operations specialists, all other",92708.2,16853.9
2015,Accountants & auditors,72087,7411.56
2015,Appraisers & assessors of real estate,20025.3,2.68E-12
2015,Budget analysts,68375.5,23654.6
2015,Credit analysts,78914.1,26891.6
2015,Financial analysts,125057,32346.1
2015,Personal financial advisors,128309,34235.4
2015,Insurance underwriters,110032,45103.7
2015,Financial examiners,81998.2,25719.8
2015,Credit counselors & loan officers,74758.7,15206.5
2015,"Tax examiners & collectors, & revenue agents",66396.7,10685.2
2015,Tax preparers,47631.9,29305.1
2015,Other financial specialists,70656.5,15280.5
2015,Computer & information research scientists,89464.1,12910.1
2015,Computer systems analysts,86740.9,3745.05
2015,Information security analysts,87324.2,7014.04
2015,Computer programmers,87464,2762.85
2015,Web developers,67515.8,4726.07
2015,Database administrators,90830.3,6504.48
2015,Network & computer systems administrators,72028.4,3049.98
2015,Computer network architects,100714,5846.29
2015,Computer support specialists,70392.1,3543.66
2015,Other Computer Occupations,83247.4,4014.7
2015,Actuaries,112982,60489.8
2015,Operations research analysts,91769.5,7710.38
2015,"Architects, except naval",120973,12520.5
2015,"Surveyors, cartographers, & photogrammetrists",68322.4,24761.7
2015,Aerospace engineers,98654,7592.89
2015,Chemical engineers,48713.2,49878.8
2015,Civil engineers,84931.4,14832.6
2015,Computer hardware engineers,98950.2,11120.6
2015,Electrical & electronics engineers,103880,9881.83
2015,Environmental engineers,61205.5,21099.8
2015,"Industrial engineers, including health & safety",89359.1,12157.1
2015,Materials engineers,96938.4,28955.5
2015,Mechanical engineers,88009,16619.8
2015,Drafters,82222,22291.9
2015,"Engineering technicians, except drafters",60356.7,12106
2015,Surveying & mapping technicians,20025.3,1.34E-12
