year,geo_name,geo,avg_wage,avg_wage_moe
2014,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",79500US0603714,88541.9,31830.9
2014,Los Angeles County (East Central)--West Covina City PUMA,79500US0603715,56692.8,12595.8
2014,"Arcadia, San Gabriel & Temple City Cities PUMA, CA",79500US0603717,85554.1,19819.4
2014,"Pasadena City PUMA, CA",79500US0603718,91526.6,15227.9
2014,"Glendale City PUMA, CA",79500US0603719,85772.1,38753.3
2014,Los Angeles County (Central)--Burbank City PUMA,79500US0603720,79168,28389.5
2014,"LA City (Northeast/North Hollywood & Valley Village) PUMA, CA",79500US0603721,64378.2,26635.8
2014,"LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, CA",79500US0603722,118906,122183
2014,"LA City (North Central/Mission Hills & Panorama City) PUMA, CA",79500US0603723,64924.2,29187
2014,"LA City (Northwest/Encino & Tarzana) PUMA, CA",79500US0603724,35972.7,16811
2014,"LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA, CA",79500US0603725,67152,22126.8
2014,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA",79500US0603726,118588,42970.3
2014,"LA City (Central/Pacific Palisades) PUMA, CA",79500US0603727,42079.6,24500.3
2014,"LA City (West Central/Westwood & West Los Angeles) PUMA, CA",79500US0603729,101634,45786.5
2014,"LA City (Central/Hancock Park & Mid-Wilshire) PUMA, CA",79500US0603730,97121.4,15271.1
2014,"LA City (East Central/Hollywood) PUMA, CA",79500US0603732,78238.8,75474.9
2014,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA,79500US0603733,79880.9,22860.5
2014,"LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA, CA",79500US0603734,51865.8,19709.7
2014,"LA City (Mount Washington, Highland Park & Glassell Park) PUMA, CA",79500US0603735,39033.1,21411.2
2014,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA,79500US0603736,82044,26686.5
2014,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA,79500US0603737,45366.4,9820.3
2014,Los Angeles County (Central)--El Monte & South El Monte Cities PUMA,79500US0603738,86687.4,24835.2
2014,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA,79500US0603740,74263.9,19574.1
2014,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA,79500US0603746,19808.1,10242.3
2014,"LA City (Central/West Adams & Baldwin Hills) PUMA, CA",79500US0603747,55252,14554.4
2014,"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, CA",79500US0603748,85930,30103.7
2014,Los Angeles County (South)--Downey City PUMA,79500US0603753,36148.4,21358.4
